right_to_wrong,wrong_to_right,wrong_to_wrong_diff,no_change_correct,no_change_incorrect,model,task,condition,n_valid
1.4056224899598393,0.40160642570281124,4.216867469879518,44.377510040160644,49.59839357429719,Gemma-7B-Base,gsm8k,reinject_original,498
38.95582329317269,4.819277108433735,46.3855421686747,6.827309236947791,3.0120481927710845,Gemma-7B-Base,gsm8k,removal,498
45.564516129032256,0.9408602150537635,52.486559139784944,0.4032258064516129,0.6048387096774194,Gemma-7B-Base,gsm8k,swap,1488
22.524407252440724,11.087866108786612,15.969316596931659,34.58856345885635,15.829846582984658,Gemma-7B-Base,mmlu_stem,control_irrelevant,1434
5.974202308214529,4.480651731160896,6.1778682959945685,50.84860828241683,32.51866938221317,Gemma-7B-Base,mmlu_stem,perturb_step_reorder,1473
9.530292716133424,7.351940095302927,11.640571817562968,46.97072838665759,24.506466984343092,Gemma-7B-Base,mmlu_stem,perturb_word_shuffle,1469
5.521472392638037,3.2719836400817996,5.521472392638037,51.738241308793455,33.94683026584867,Gemma-7B-Base,mmlu_stem,reinject_original,489
15.212981744421906,10.344827586206897,13.793103448275861,41.58215010141988,19.066937119675455,Gemma-7B-Base,mmlu_stem,removal,493
24.22752808988764,10.674157303370787,17.134831460674157,32.37359550561798,15.589887640449438,Gemma-7B-Base,mmlu_stem,swap,1424
1.4364640883977902,19.337016574585636,76.9060773480663,0.3314917127071823,1.988950276243094,Gemma-7B-Instruct,gsm8k,control_irrelevant,905
0.9398496240601504,15.789473684210526,70.67669172932331,0.4699248120300752,12.12406015037594,Gemma-7B-Instruct,gsm8k,perturb_step_reorder,1064
1.3643659711075442,19.582664526484752,77.12680577849117,0.7223113964686998,1.203852327447833,Gemma-7B-Instruct,gsm8k,perturb_word_shuffle,1246
0.9592326139088729,20.14388489208633,70.74340527577938,0.9592326139088729,7.194244604316546,Gemma-7B-Instruct,gsm8k,reinject_original,417
1.7278617710583153,16.198704103671705,80.77753779697625,0.4319654427645788,0.8639308855291576,Gemma-7B-Instruct,gsm8k,removal,463
1.5763546798029557,15.566502463054187,79.3103448275862,0.39408866995073893,3.1527093596059115,Gemma-7B-Instruct,gsm8k,swap,1015
11.87363834422658,22.54901960784314,20.26143790849673,17.864923747276688,27.45098039215686,Gemma-7B-Instruct,mmlu_stem,control_irrelevant,918
15.996168582375478,17.816091954022987,21.455938697318008,15.708812260536398,29.022988505747126,Gemma-7B-Instruct,mmlu_stem,perturb_step_reorder,1044
10.9375,22.65625,19.010416666666668,19.270833333333332,28.125,Gemma-7B-Instruct,mmlu_stem,perturb_word_shuffle,1152
12.23404255319149,19.148936170212767,18.617021276595743,19.148936170212767,30.851063829787233,Gemma-7B-Instruct,mmlu_stem,reinject_original,376
10.96938775510204,25.0,18.877551020408163,20.153061224489797,25.0,Gemma-7B-Instruct,mmlu_stem,removal,392
13.214620431115277,20.524835988753516,21.74320524835989,17.52577319587629,26.991565135895033,Gemma-7B-Instruct,mmlu_stem,swap,1067
58.81907645722937,1.5897047691143074,19.15215745647237,18.395155185465555,2.043906131718395,Llama-3.1-70B-Base,gsm8k,control_irrelevant,1321
1.0033444816053512,0.6020066889632107,1.6722408026755853,76.5886287625418,20.13377926421405,Llama-3.1-70B-Base,gsm8k,perturb_step_reorder,1495
18.481182795698924,1.3440860215053763,9.206989247311828,59.274193548387096,11.693548387096774,Llama-3.1-70B-Base,gsm8k,perturb_word_shuffle,1488
0.0,0.0,1.0060362173038229,77.66599597585513,21.327967806841045,Llama-3.1-70B-Base,gsm8k,reinject_original,497
48.69739478957916,3.006012024048096,16.63326653306613,28.857715430861724,2.80561122244489,Llama-3.1-70B-Base,gsm8k,removal,499
75.1336898395722,0.20053475935828877,21.4572192513369,2.4732620320855614,0.7352941176470589,Llama-3.1-70B-Base,gsm8k,swap,1496
13.911290322580646,7.862903225806452,7.459677419354839,58.266129032258064,12.5,Llama-3.1-70B-Base,mmlu_stem,control_irrelevant,1488
2.553763440860215,2.0833333333333335,4.233870967741935,69.6236559139785,21.50537634408602,Llama-3.1-70B-Base,mmlu_stem,perturb_step_reorder,1488
6.720430107526882,4.838709677419355,6.989247311827957,65.45698924731182,15.994623655913978,Llama-3.1-70B-Base,mmlu_stem,perturb_word_shuffle,1488
3.0303030303030303,2.4242424242424243,3.6363636363636362,69.29292929292929,21.616161616161616,Llama-3.1-70B-Base,mmlu_stem,reinject_original,495
13.10483870967742,8.266129032258064,7.661290322580645,59.07258064516129,11.89516129032258,Llama-3.1-70B-Base,mmlu_stem,removal,496
18.754277891854894,7.734428473648186,8.761122518822724,53.79876796714579,10.951403148528405,Llama-3.1-70B-Base,mmlu_stem,swap,1461
22.466666666666665,13.8,9.466666666666667,45.53333333333333,8.733333333333333,Llama-3.1-70B-Instruct,gsm8k,control_irrelevant,1500
12.767379679144385,17.8475935828877,5.080213903743315,55.14705882352941,9.157754010695188,Llama-3.1-70B-Instruct,gsm8k,perturb_step_reorder,1496
26.933333333333334,11.866666666666667,9.866666666666667,41.06666666666667,10.266666666666667,Llama-3.1-70B-Instruct,gsm8k,perturb_word_shuffle,1500
3.4136546184738954,23.49397590361446,2.4096385542168677,64.65863453815261,6.024096385542169,Llama-3.1-70B-Instruct,gsm8k,reinject_original,498
23.8,11.6,9.4,44.2,11.0,Llama-3.1-70B-Instruct,gsm8k,removal,500
22.8,14.533333333333333,8.8,45.2,8.666666666666666,Llama-3.1-70B-Instruct,gsm8k,swap,1500
23.288749016522424,3.068450039339103,4.642014162077104,58.143194335169156,10.85759244689221,Llama-3.1-70B-Instruct,mmlu_stem,control_irrelevant,1271
6.990014265335235,2.8530670470756063,2.4964336661911557,73.32382310984308,14.336661911554922,Llama-3.1-70B-Instruct,mmlu_stem,perturb_step_reorder,1402
18.448795180722893,3.6897590361445785,4.894578313253012,61.897590361445786,11.069277108433734,Llama-3.1-70B-Instruct,mmlu_stem,perturb_word_shuffle,1328
3.1578947368421053,2.736842105263158,1.0526315789473684,77.05263157894737,16.0,Llama-3.1-70B-Instruct,mmlu_stem,reinject_original,475
21.103117505995204,3.357314148681055,4.07673860911271,60.431654676258994,11.031175059952039,Llama-3.1-70B-Instruct,mmlu_stem,removal,417
26.97872340425532,3.0638297872340425,4.851063829787234,55.48936170212766,9.617021276595745,Llama-3.1-70B-Instruct,mmlu_stem,swap,1175
48.97959183673469,1.1535048802129548,39.48535936113576,5.501330967169476,4.880212954747116,Llama-3.1-8B-Base,gsm8k,control_irrelevant,1127
1.1591148577449948,0.31612223393045313,3.3719704952581666,54.89989462592202,40.25289778714436,Llama-3.1-8B-Base,gsm8k,perturb_step_reorder,949
19.01565995525727,1.8642803877703207,24.459358687546608,34.675615212527966,19.98508575689784,Llama-3.1-8B-Base,gsm8k,perturb_word_shuffle,1341
0.7220216606498195,0.0,2.1660649819494586,56.67870036101083,40.43321299638989,Llama-3.1-8B-Base,gsm8k,reinject_original,277
45.6,1.6,41.8,8.2,2.8,Llama-3.1-8B-Base,gsm8k,removal,500
53.144940747493166,1.0027347310847767,41.56791248860529,2.552415679124886,1.731996353691887,Llama-3.1-8B-Base,gsm8k,swap,1097
